date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:51:24	115/115	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2031%20Oct%202024%2016:51:28%20GMT	https://zelio-html-demo.vercel.app/index.html	D:/portfolio%202/zelio-html-demo.vercel.app/index.0.delayed	(from )
09:51:25	3036/3036	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%220f2047c78cb05b400072873e50b0fc0b%22	https://zelio-html-demo.vercel.app/robots.txt		(from )
09:51:25	52633/52633	---MCZ	200	added ('OK')	text/html	etag:W/%228340fc17f8c7425049841d0cccce5e7c%22	https://zelio-html-demo.vercel.app/	D:/portfolio%202/zelio-html-demo.vercel.app/index.html	(from )
09:51:25	1856/1856	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%220cecbfeb6638934eb54bb85d9aa52bd7%22	https://zelio-html-demo.vercel.app/assets/imgs/template/favicon.svg	D:/portfolio%202/zelio-html-demo.vercel.app/assets/imgs/template/favicon.svg	(from https://zelio-html-demo.vercel.app/)
09:51:26	232757/232757	---MCZ	200	added ('OK')	text/css	etag:W/%22c45b0ad5d4969c24fcb0488a660b2fdf%22	https://zelio-html-demo.vercel.app/assets/css/vendors/bootstrap.min.css	D:/portfolio%202/zelio-html-demo.vercel.app/assets/css/vendors/bootstrap.min.css	(from https://zelio-html-demo.vercel.app/)
09:51:26	18431/18431	---MCZ	200	added ('OK')	text/css	etag:W/%228d56e27a35f1359df71f1dc8a07ad3fd%22	https://zelio-html-demo.vercel.app/assets/css/vendors/swiper-bundle.min.css	D:/portfolio%202/zelio-html-demo.vercel.app/assets/css/vendors/swiper-bundle.min.css	(from https://zelio-html-demo.vercel.app/)
09:51:27	26053/26053	---MCZ	200	added ('OK')	text/css	etag:W/%22847da8fca8060ca1a70f976aab1210b9%22	https://zelio-html-demo.vercel.app/assets/css/vendors/aos.css	D:/portfolio%202/zelio-html-demo.vercel.app/assets/css/vendors/aos.css	(from https://zelio-html-demo.vercel.app/)
09:51:27	3655/3655	---MCZ	200	added ('OK')	text/css	etag:W/%22ab814c7ef52443b97a249987334801a0%22	https://zelio-html-demo.vercel.app/assets/css/vendors/odometer.css	D:/portfolio%202/zelio-html-demo.vercel.app/assets/css/vendors/odometer.css	(from https://zelio-html-demo.vercel.app/)
09:51:28	750/750	---M--	200	added ('OK')	text/css	etag:%220c7c2827f17b04e9918a6f7230738554%22	https://zelio-html-demo.vercel.app/assets/css/vendors/carouselTicker.css	D:/portfolio%202/zelio-html-demo.vercel.app/assets/css/vendors/carouselTicker.css	(from https://zelio-html-demo.vercel.app/)
09:51:28	6951/6951	---MCZ	200	added ('OK')	text/css	etag:W/%2230b593b71d7672658f89bfea0ab360c9%22	https://zelio-html-demo.vercel.app/assets/css/vendors/magnific-popup.css	D:/portfolio%202/zelio-html-demo.vercel.app/assets/css/vendors/magnific-popup.css	(from https://zelio-html-demo.vercel.app/)
09:51:29	140913/140913	---MCZ	200	added ('OK')	text/css	etag:W/%22c3a26f72e1948328d0587ced0d3a1ade%22	https://zelio-html-demo.vercel.app/assets/fonts/remixicon/remixicon.css	D:/portfolio%202/zelio-html-demo.vercel.app/assets/fonts/remixicon/remixicon.css	(from https://zelio-html-demo.vercel.app/)
09:51:29	4549/4549	---MCZ	200	added ('OK')	text/css	etag:W/%22b53fce6b01fa28e6613d6e16149a7f44%22	https://zelio-html-demo.vercel.app/assets/fonts/satoshi/satoshi.css	D:/portfolio%202/zelio-html-demo.vercel.app/assets/fonts/satoshi/satoshi.css	(from https://zelio-html-demo.vercel.app/)
09:51:30	324993/324993	---MCZ	200	added ('OK')	text/css	etag:W/%22e6d481ea4b8782ceb94614967497af1e%22	https://zelio-html-demo.vercel.app/assets/css/main.css	D:/portfolio%202/zelio-html-demo.vercel.app/assets/css/main.css	(from https://zelio-html-demo.vercel.app/)
09:51:30	931/931	---M--	200	added ('OK')	image/svg+xml	etag:%22398ad48746f694e5349bb46c0f2353b5%22	https://zelio-html-demo.vercel.app/assets/imgs/landing-page/logo.svg	D:/portfolio%202/zelio-html-demo.vercel.app/assets/imgs/landing-page/logo.svg	(from https://zelio-html-demo.vercel.app/)
